id,status,gender,current_role,kids_in_home,years_in_field,age,employment_type,salary,parental_leave_pay,parental_leave_length,country,wish_parental_leave_longer,ever_declined_promotion,ever_declined_travel,voicing_needs_difficult,have_support,equal_partnership,treated_unfairly_at_work,changed_company_balance,remote_work
1,Completed,Male,data worker,kids in home Yes,11 15 years,35-44yo,Employed full time,60-89k,other materity leave,17 weeks 6 months,other country,Other leave,No declined promotion,never asked trip conference,No voicing needs difficult,Yes network help,single,No unfairly treated,Yes changed companies,client location
2,Completed,Female,data worker,empty nester,11 15 years,45-54yo,Employed full time,90-119k,partially paid,6 8weeks,US,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,single,Other unfairly treated,No changed companies,Fully remote
3,Completed,Male,data worker,kids in home Yes,6 10 years,35-44yo,Employed full time,60-89k,partially paid,13 16weeks,Europe,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Partially remote
4,Completed,Female,data worker,kids in home Yes,2 5 years,35-44yo,Self employed,30-59k,not paid,6 8weeks,Europe,Other leave,Yes declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,partner handles less,Yes unfairly treated,Yes changed companies,Fully remote
5,Completed,Female,data worker,kids in home No,less 2,25-34yo,Employed full time,less30k,other materity leave,no leave,other country,Yes wish longer,No declined promotion,never asked trip conference,No voicing needs difficult,No network help,partner handles less,Yes unfairly treated,Yes changed companies,Fully in office
6,Completed,Male,data worker,kids in home Yes,2 5 years,35-44yo,Employed full time,90-119k,other materity leave,no leave,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,Yes changed companies,Fully in office
7,Completed,Male,data worker,kids in home Yes,6 10 years,35-44yo,Employed full time,90-119k,full paid,less 2weeks,other country,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles more,No unfairly treated,Yes changed companies,Fully in office
8,Completed,Male,data worker,kids in home Yes,2 5 years,25-34yo,Employed full time,90-119k,full paid,3 5weeks,Asia,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,Yes unfairly treated,No changed companies,Fully in office
9,Completed,Female,data worker,kids in home Yes,2 5 years,45-54yo,Employed full time,30-59k,partially paid,6 month plus,Europe,Yes wish longer,Yes declined promotion,never asked trip conference,Yes voicing needs difficult,No network help,equal partnership,Yes unfairly treated,Yes changed companies,Fully in office
10,Completed,Male,data worker,kids in home No,2 5 years,25-34yo,Employed full time,less30k,not paid,less 2weeks,Asia,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,single,No unfairly treated,No changed companies,Fully in office
11,Completed,Male,data worker,kids in home Yes,2 5 years,25-34yo,Employed full time,30-59k,full paid,less 2weeks,Europe,Yes wish longer,Yes declined promotion,never asked trip conference,Yes voicing needs difficult,Yes network help,partner handles more,No unfairly treated,Yes changed companies,Partially remote
12,Completed,Female,data worker,kids in home Yes,11 15 years,45-54yo,Employed full time,120-159k,partially paid,6 8weeks,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,single,Yes unfairly treated,Yes changed companies,Fully in office
13,Completed,Male,Manager,kids in home Yes,6 10 years,25-34yo,Employed full time,90-119k,full paid,less 2weeks,Asia,Yes wish longer,No declined promotion,No declined trip or conference,Yes voicing needs difficult,No network help,partner handles more,No unfairly treated,No changed companies,Fully in office
14,Completed,Female,data worker,kids in home Yes,2 5 years,25-34yo,not employed not looking,wont-answer-salary,other materity leave,17 weeks 6 months,US,No wish longer,Yes declined promotion,Yes declined trip or conference,No voicing needs difficult,No network help,equal partnership,No unfairly treated,No changed companies,Fully remote
15,Completed,Male,Manager,kids in home Yes,11 15 years,35-44yo,Employed full time,wont-answer-salary,full paid,3 5weeks,US,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,partner handles more,Other unfairly treated,Yes changed companies,Partially remote
16,Completed,Male,pursing work,kids in home Yes,less 2,35-44yo,not employed not looking,30-59k,not paid,less 2weeks,Asia,Yes wish longer,No declined promotion,never asked trip conference,No voicing needs difficult,Yes network help,partner handles more,Yes unfairly treated,No changed companies,Fully in office
17,Completed,Male,data worker,empty nester,6 10 years,55-64yo,not employed not looking,90-119k,not paid,no leave,US,Yes wish longer,Yes declined promotion,No declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Other workplace arrangement
18,Completed,Female,data worker,kids in home Yes,2 5 years,35-44yo,Employed full time,160-plus,partially paid,9 12weeks,US,Yes wish longer,No declined promotion,No declined trip or conference,Yes voicing needs difficult,No network help,partner handles less,No unfairly treated,No changed companies,Partially remote
19,Completed,Female,pursing work,kids in home Yes,16 years more,35-44yo,not employed not looking,30-59k,partially paid,6 month plus,other country,Not sure longer leave,No declined promotion,No declined trip or conference,No voicing needs difficult,No network help,equal partnership,No unfairly treated,No changed companies,Partially remote
20,Completed,Male,pursing work,empty nester,not in the field,45-54yo,Employed full time,90-119k,other materity leave,no leave,US,Other leave,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Partially remote
21,Completed,Male,pursing work,kids in home Yes,less 2,35-44yo,Employed full time,less30k,other materity leave,less 2weeks,other country,Yes wish longer,No declined promotion,never asked trip conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Fully in office
22,Completed,Male,data worker,kids in home Yes,less 2,35-44yo,Employed full time,30-59k,full paid,less 2weeks,other country,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles more,No unfairly treated,Yes changed companies,Fully remote
23,Completed,Female,pursing work,kids in home Yes,2 5 years,25-34yo,not employed not looking,wont-answer-salary,partially paid,9 12weeks,US,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,No network help,partner handles less,Yes unfairly treated,Yes changed companies,Fully in office
24,Completed,Male,data worker,kids in home Yes,6 10 years,25-34yo,Employed full time,less30k,not paid,less 2weeks,Asia,Yes wish longer,Yes declined promotion,never asked trip conference,Yes voicing needs difficult,No network help,partner handles more,No unfairly treated,Yes changed companies,Fully in office
25,Completed,Female,Manager,kids in home Yes,11 15 years,35-44yo,Employed full time,60-89k,partially paid,17 weeks 6 months,other country,Not sure longer leave,No declined promotion,No declined trip or conference,Yes voicing needs difficult,No network help,partner handles less,No unfairly treated,No changed companies,Fully in office
26,Completed,Female,data worker,kids in home Yes,2 5 years,35-44yo,Employed full time,60-89k,other materity leave,17 weeks 6 months,US,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,partner handles less,No unfairly treated,Yes changed companies,Partially remote
27,Completed,Female,Manager,kids in home Yes,11 15 years,25-34yo,Employed full time,wont-answer-salary,full paid,17 weeks 6 months,Asia,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles less,Yes unfairly treated,No changed companies,Fully in office
29,Completed,Male,pursing work,kids in home Yes,less 2,25-34yo,Employed full time,60-89k,full paid,6 8weeks,Asia,No wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,No network help,partner handles more,No unfairly treated,No changed companies,Fully in office
30,Completed,Male,data worker,kids in home Yes,11 15 years,25-34yo,Employed full time,wont-answer-salary,not paid,6 8weeks,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,No voicing needs difficult,No network help,equal partnership,Other unfairly treated,No changed companies,Partially remote
31,Completed,Male,pursing work,kids in home Yes,2 5 years,35-44yo,Employed full time,wont-answer-salary,full paid,less 2weeks,Asia,Yes wish longer,Yes declined promotion,Yes declined trip or conference,No voicing needs difficult,No network help,equal partnership,No unfairly treated,No changed companies,Fully in office
32,Completed,Male,data worker,kids in home Yes,6 10 years,35-44yo,Employed full time,160-plus,full paid,3 5weeks,US,Not sure longer leave,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Partially remote
33,Completed,Male,Manager,kids in home Yes,16 years more,45-54yo,Employed full time,160-plus,full paid,3 5weeks,US,Yes wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,No network help,partner handles more,No unfairly treated,No changed companies,Partially remote
34,Completed,Male,data worker,kids in home Yes,6 10 years,35-44yo,Employed full time,120-159k,full paid,3 5weeks,US,No wish longer,Yes declined promotion,Yes declined trip or conference,No voicing needs difficult,No network help,partner handles more,Yes unfairly treated,Yes changed companies,Partially remote
35,Completed,Male,pursing work,kids in home Yes,less 2,45-54yo,Employed full time,wont-answer-salary,full paid,less 2weeks,Asia,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Fully in office
36,Completed,Male,data worker,kids in home Yes,2 5 years,45-54yo,Employed full time,wont-answer-salary,not paid,less 2weeks,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles less,No unfairly treated,Yes changed companies,Partially remote
37,Completed,Male,data worker,kids in home Yes,2 5 years,25-34yo,Employed full time,60-89k,full paid,less 2weeks,US,Yes wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,Yes changed companies,Fully in office
38,Completed,Male,data worker,kids in home Yes,2 5 years,25-34yo,Employed full time,less30k,not paid,no leave,other country,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,partner handles more,Other unfairly treated,Yes changed companies,Fully in office
39,Completed,Male,Manager,kids in home Yes,16 years more,35-44yo,Employed full time,160-plus,full paid,less 2weeks,Asia,Yes wish longer,Yes declined promotion,No declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles more,No unfairly treated,Yes changed companies,Partially remote
40,Completed,Female,data worker,kids in home No,16 years more,45-54yo,Self employed,160-plus,other materity leave,13 16weeks,Europe,Not sure longer leave,Yes declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Partially remote
41,Completed,Male,pursing work,kids in home Yes,less 2,35-44yo,Self employed,30-59k,partially paid,less 2weeks,US,Yes wish longer,Yes declined promotion,never asked trip conference,Yes voicing needs difficult,Yes network help,single,No unfairly treated,No changed companies,Fully remote
42,Completed,Female,data worker,kids in home Yes,less 2,35-44yo,Employed full time,30-59k,partially paid,6 month plus,Europe,No wish longer,No declined promotion,never asked trip conference,Yes voicing needs difficult,Yes network help,partner handles less,Yes unfairly treated,No changed companies,Partially remote
43,Completed,Male,data worker,kids in home Yes,11 15 years,45-54yo,Employed full time,wont-answer-salary,partially paid,6 8weeks,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,equal partnership,Yes unfairly treated,Yes changed companies,Partially remote
44,Completed,Male,not in field,empty nester,16 years more,45-54yo,Employed full time,120-159k,not paid,less 2weeks,US,Yes wish longer,No declined promotion,No declined trip or conference,Yes voicing needs difficult,No network help,partner handles less,Yes unfairly treated,No changed companies,Fully remote
45,Completed,Male,data worker,kids in home Yes,2 5 years,25-34yo,Employed full time,60-89k,full paid,3 5weeks,Europe,Yes wish longer,No declined promotion,never asked trip conference,Yes voicing needs difficult,No network help,partner handles more,No unfairly treated,No changed companies,Fully remote
46,Completed,Female,data worker,kids in home Yes,2 5 years,25-34yo,Employed full time,120-159k,full paid,17 weeks 6 months,US,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,equal partnership,Yes unfairly treated,No changed companies,Partially remote
47,Completed,Male,data worker,kids in home Yes,less 2,25-34yo,Employed full time,30-59k,partially paid,6 month plus,other country,No wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,No network help,partner handles more,No unfairly treated,No changed companies,Fully in office
48,Completed,Male,pursing work,kids in home Yes,less 2,35-44yo,Employed full time,120-159k,full paid,less 2weeks,Asia,Not sure longer leave,No declined promotion,No declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Fully in office
49,Completed,Male,data worker,kids in home Yes,16 years more,45-54yo,Employed full time,60-89k,not paid,no leave,other country,Other leave,No declined promotion,never asked trip conference,Yes voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Partially remote
50,Completed,Female,data worker,kids in home Yes,less 2,25-34yo,Employed full time,30-59k,full paid,6 8weeks,Europe,Yes wish longer,Yes declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,partner handles less,No unfairly treated,No changed companies,Fully in office
51,Completed,Female,pursing work,kids in home Yes,less 2,45-54yo,Self employed,wont-answer-salary,full paid,3 5weeks,other country,Not sure longer leave,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,partner handles less,Yes unfairly treated,Other changed companies,Fully in office
52,Completed,Male,Manager,kids in home Yes,2 5 years,35-44yo,not employed not looking,120-159k,full paid,less 2weeks,US,Yes wish longer,No declined promotion,No declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles more,No unfairly treated,Yes changed companies,Partially remote
53,Completed,Male,Manager,kids in home Yes,6 10 years,25-34yo,Employed full time,120-159k,full paid,6 8weeks,US,Yes wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Partially remote
54,Completed,Female,not in field,kids in home Yes,not in the field,35-44yo,Employed full time,90-119k,not paid,13 16weeks,US,Yes wish longer,No declined promotion,never asked trip conference,No voicing needs difficult,No network help,equal partnership,No unfairly treated,No changed companies,Fully in office
55,Completed,Male,Manager,kids in home Yes,11 15 years,35-44yo,Employed full time,160-plus,partially paid,less 2weeks,US,No wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,equal partnership,Yes unfairly treated,No changed companies,Fully in office
56,Completed,Male,pursing work,kids in home Yes,less 2,25-34yo,Employed full time,120-159k,full paid,6 8weeks,US,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,No network help,equal partnership,No unfairly treated,No changed companies,Fully in office
57,Completed,Male,data worker,kids in home Yes,2 5 years,35-44yo,Employed full time,90-119k,partially paid,no leave,Europe,Yes wish longer,Yes declined promotion,never asked trip conference,No voicing needs difficult,Yes network help,equal partnership,Other unfairly treated,Yes changed companies,Fully in office
58,Completed,Male,data worker,kids in home Yes,11 15 years,35-44yo,Employed full time,60-89k,full paid,less 2weeks,other country,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Fully in office
59,Completed,Male,data worker,kids in home Yes,less 2,35-44yo,Employed full time,120-159k,not paid,no leave,other country,Yes wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,Yes changed companies,Partially remote
60,Completed,Male,not in field,kids in home Yes,not in the field,25-34yo,Employed full time,less30k,full paid,less 2weeks,other country,Not sure longer leave,Yes declined promotion,Yes declined trip or conference,No voicing needs difficult,No network help,partner handles more,No unfairly treated,Yes changed companies,Partially remote
61,Completed,Female,data worker,kids in home Yes,2 5 years,25-34yo,Employed full time,30-59k,partially paid,6 8weeks,US,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,single,No unfairly treated,No changed companies,Partially remote
62,Completed,Male,Manager,kids in home Yes,6 10 years,25-34yo,Employed full time,30-59k,full paid,3 5weeks,US,No wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,No network help,partner handles more,No unfairly treated,No changed companies,Fully in office
63,Completed,non_binary,data worker,kids in home Yes,6 10 years,35-44yo,Military,less30k,not-paid,6 month plus,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles less,Yes unfairly treated,Yes changed companies,Partially remote
64,Completed,Female,Manager,kids in home Yes,6 10 years,25-34yo,Employed full time,120-159k,full paid,6 month plus,US,No wish longer,No declined promotion,No declined trip or conference,Other voicing needs difficult,Other network help,equal partnership,No unfairly treated,No changed companies,client location
65,Completed,Male,data worker,kids in home Yes,2 5 years,25-34yo,Employed part time,less30k,not paid,no leave,US,Yes wish longer,Yes declined promotion,never asked trip conference,Yes voicing needs difficult,No network help,partner handles more,No unfairly treated,No changed companies,Partially remote
66,Completed,Female,pursing work,kids in home Yes,less 2,35-44yo,Employed part time,30-59k,partially paid,6 month plus,Europe,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,equal partnership,No unfairly treated,Yes changed companies,Partially remote
67,Completed,Male,data worker,kids in home Yes,6 10 years,35-44yo,Employed part time,wont-answer-salary,partially paid,3 5weeks,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,No voicing needs difficult,No network help,equal partnership,No unfairly treated,No changed companies,Fully in office
