id,status,gender,current_role,kids_in_home,years_in_field,age,employment_type,salary,parental_leave_pay,parental_leave_length,country,wish_parental_leave_longer,ever_declined_promotion,ever_declined_travel,voicing_needs_difficult,have_support,equal_partnership,treated_unfairly_at_work,changed_company_balance,remote_work
130,Completed,Male,data worker,kids in home Yes,2 5 years,25-34yo,Employed full time,120-159k,full paid,less 2weeks,US,Yes wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Partially remote
131,Completed,Female,pursing work,kids in home Yes,6 10 years,25-34yo,Homemaker,90-119k,partially paid,9 12weeks,US,Yes wish longer,Yes declined promotion,never asked trip conference,Yes voicing needs difficult,Yes network help,partner handles less,Yes unfairly treated,Yes changed companies,Other workplace arrangement
132,Completed,Male,data worker,kids in home Yes,6 10 years,45-54yo,Employed full time,120-159k,partially paid,9 12weeks,Europe,No wish longer,No declined promotion,No declined trip or conference,Yes voicing needs difficult,No network help,partner handles more,Yes unfairly treated,No changed companies,Fully in office
133,Completed,Male,pursing work,kids in home Yes,less 2,35-44yo,Employed full time,30-59k,full paid,less 2weeks,other country,Not sure longer leave,No declined promotion,No declined trip or conference,Yes voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Fully in office
134,Completed,Female,pursing work,kids in home Yes,less 2,25-34yo,not employed not looking,30-59k,other materity leave,no leave,US,Other leave,No declined promotion,never asked trip conference,No voicing needs difficult,No network help,partner handles more,Yes unfairly treated,Other changed companies,Other workplace arrangement
135,Completed,Female,pursing work,kids in home No,less 2,prefer-no-answer,Employed full time,wont-answer-salary,not paid,no leave,US,Other leave,No declined promotion,No declined trip or conference,No voicing needs difficult,No network help,single,No unfairly treated,Other changed companies,Fully in office
136,Completed,Female,Manager,kids in home Yes,2 5 years,35-44yo,Self employed,less30k,partially paid,17 weeks 6 months,Europe,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles less,Yes unfairly treated,No changed companies,Fully in office
137,Completed,Female,Manager,kids in home Yes,11 15 years,35-44yo,Employed full time,120-159k,partially paid,6 month plus,other country,No wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,No network help,partner handles less,No unfairly treated,No changed companies,Partially remote
138,Completed,Male,data worker,kids in home Yes,6 10 years,45-54yo,Employed full time,120-159k,full paid,less 2weeks,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,No voicing needs difficult,No network help,partner handles more,No unfairly treated,No changed companies,Fully in office
139,Completed,Female,data worker,kids in home Yes,11 15 years,35-44yo,Employed full time,90-119k,full paid,6 8weeks,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Other network help,equal partnership,No unfairly treated,Yes changed companies,Fully in office
140,Completed,Female,data worker,kids in home Yes,16 years more,55-64yo,Employed full time,120-159k,partially paid,6 month plus,US,No wish longer,Yes declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Partially remote
141,Completed,Male,data worker,kids in home Yes,2 5 years,35-44yo,Employed full time,wont-answer-salary,full paid,6 8weeks,US,Yes wish longer,No declined promotion,No declined trip or conference,Yes voicing needs difficult,No network help,partner handles more,Yes unfairly treated,Yes changed companies,Fully in office
142,Completed,Male,data worker,kids in home Yes,6 10 years,45-54yo,Employed full time,120-159k,partially paid,3 5weeks,Europe,No wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,No network help,partner handles more,No unfairly treated,No changed companies,client location
143,Completed,Female,pursing work,kids in home Yes,not in the field,35-44yo,Employed full time,30-59k,full paid,6 month plus,Europe,No wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Other network help,partner handles less,No unfairly treated,Yes changed companies,Fully in office
144,Completed,Female,data worker,kids in home Yes,11 15 years,25-34yo,Employed full time,less30k,full paid,17 weeks 6 months,Asia,Yes wish longer,No declined promotion,never asked trip conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Fully in office
145,Completed,Male,data worker,kids in home Yes,2 5 years,35-44yo,Employed full time,120-159k,full paid,3 5weeks,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Fully in office
146,Completed,Female,data worker,kids in home Yes,11 15 years,35-44yo,Employed full time,160-plus,partially paid,13 16weeks,US,Other leave,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,partner handles more,No unfairly treated,No changed companies,Fully in office
147,Completed,Male,data worker,kids in home Yes,less 2,25-34yo,Employed full time,90-119k,not paid,no leave,US,Other leave,No declined promotion,never asked trip conference,Yes voicing needs difficult,No network help,partner handles more,Yes unfairly treated,Other changed companies,Fully in office
148,Completed,Female,data worker,kids in home Yes,11 15 years,35-44yo,Employed full time,less30k,other materity leave,no leave,Asia,Yes wish longer,No declined promotion,never asked trip conference,Yes voicing needs difficult,Yes network help,partner handles less,No unfairly treated,Yes changed companies,Fully in office
